country,year,predicted_temperature
AFG,2015,13.426822
AFG,2016,13.4762
AFG,2017,13.525583
AFG,2018,13.575004
AFG,2019,13.625549
AFG,2020,13.676588
AFG,2021,13.727625
AFG,2022,13.77866
AFG,2023,13.829699
AFG,2024,13.880741
AFG,2025,13.937173
ALB,2015,13.587444
ALB,2016,13.654876
ALB,2017,13.722307
ALB,2018,13.789741
ALB,2019,13.857175
ALB,2020,13.924604
ALB,2021,13.992041
ALB,2022,14.059475
ALB,2023,14.126908
ALB,2024,14.194876
ALB,2025,14.263273
DZA,2015,24.374306
DZA,2016,24.42172
DZA,2017,24.46914
DZA,2018,24.516548
DZA,2019,24.564993
DZA,2020,24.61405
DZA,2021,24.663103
DZA,2022,24.712147
DZA,2023,24.761206
DZA,2024,24.810251
DZA,2025,24.85932
AGO,2015,22.368515
AGO,2016,22.430096
AGO,2017,22.491682
AGO,2018,22.553246
AGO,2019,22.614828
AGO,2020,22.676405
AGO,2021,22.738731
AGO,2022,22.797398
AGO,2023,22.856062
AGO,2024,22.914736
AGO,2025,22.973392
AND,2015,7.8464675
AND,2016,7.904981
AND,2017,7.9635344
AND,2018,8.024235
AND,2019,8.085698
AND,2020,8.147521
AND,2021,8.211841
AND,2022,8.280571
AND,2023,8.349412
AND,2024,8.418452
AND,2025,8.4874935
ASM,2015,27.141068
ASM,2016,27.178995
ASM,2017,27.216932
ASM,2018,27.255053
ASM,2019,27.293495
ASM,2020,27.331923
ASM,2021,27.370409
ASM,2022,27.408998
ASM,2023,27.447586
ASM,2024,27.486176
ASM,2025,27.524775
AIA,2015,26.430492
AIA,2016,26.449465
AIA,2017,26.468431
AIA,2018,26.490553
AIA,2019,26.520523
AIA,2020,26.550583
AIA,2021,26.581417
AIA,2022,26.622185
AIA,2023,26.666798
AIA,2024,26.711418
AIA,2025,26.75602
ATG,2015,26.42363
ATG,2016,26.44601
ATG,2017,26.46839
ATG,2018,26.490774
ATG,2019,26.522741
ATG,2020,26.564384
ATG,2021,26.611818
ATG,2022,26.659248
ATG,2023,26.706684
ATG,2024,26.754118
ATG,2025,26.801722
EGY,2015,23.575296
EGY,2016,23.616117
EGY,2017,23.656927
EGY,2018,23.69775
EGY,2019,23.738573
EGY,2020,23.77939
EGY,2021,23.820848
EGY,2022,23.866156
EGY,2023,23.916782
EGY,2024,23.967869
EGY,2025,24.018946
ABW,2015,26.848919
ABW,2016,26.87729
ABW,2017,26.907484
ABW,2018,26.93766
ABW,2019,26.967836
ABW,2020,26.99802
ABW,2021,27.028198
ABW,2022,27.058378
ABW,2023,27.0901
ABW,2024,27.123455
ABW,2025,27.156822
ARG,2015,15.030793
ARG,2016,15.07504
ARG,2017,15.119284
ARG,2018,15.16352
ARG,2019,15.207767
ARG,2020,15.256451
ARG,2021,15.30933
ARG,2022,15.36221
ARG,2023,15.415095
ARG,2024,15.467978
ARG,2025,15.520869
ARM,2015,6.966773
ARM,2016,7.0046163
ARM,2017,7.043451
ARM,2018,7.087612
ARM,2019,7.134083
ARM,2020,7.1951756
ARM,2021,7.2594457
ARM,2022,7.3266582
ARM,2023,7.3965254
ARM,2024,7.4701695
ARM,2025,7.54507
AUS,2015,22.594162
AUS,2016,22.649288
AUS,2017,22.704397
AUS,2018,22.759521
AUS,2019,22.814642
AUS,2020,22.86976
AUS,2021,22.924881
AUS,2022,22.978441
AUS,2023,23.028332
AUS,2024,23.078226
AUS,2025,23.12814
AUT,2015,7.235958
AUT,2016,7.2928667
AUT,2017,7.347579
AUT,2018,7.4013467
AUT,2019,7.4540124
AUT,2020,7.5055647
AUT,2021,7.5568275
AUT,2022,7.608093
AUT,2023,7.659357
AUT,2024,7.7098665
AUT,2025,7.769058
AZE,2015,12.886339
AZE,2016,12.935882
AZE,2017,12.985421
AZE,2018,13.039763
AZE,2019,13.095461
AZE,2020,13.152763
AZE,2021,13.216632
AZE,2022,13.281468
AZE,2023,13.348565
AZE,2024,13.415704
AZE,2025,13.48372
BGD,2015,26.10373
BGD,2016,26.122572
BGD,2017,26.141249
BGD,2018,26.160416
BGD,2019,26.179823
BGD,2020,26.19923
BGD,2021,26.223127
BGD,2022,26.256863
BGD,2023,26.292297
BGD,2024,26.32775
BGD,2025,26.36635
BHR,2015,26.99451
BHR,2016,27.033102
BHR,2017,27.071701
BHR,2018,27.110289
BHR,2019,27.148895
BHR,2020,27.18748
BHR,2021,27.226074
BHR,2022,27.265894
BHR,2023,27.313488
BHR,2024,27.365494
BHR,2025,27.417498
BRB,2015,26.973665
BRB,2016,26.99579
BRB,2017,27.017406
BRB,2018,27.03902
BRB,2019,27.06062
BRB,2020,27.083961
BRB,2021,27.110065
BRB,2022,27.137836
BRB,2023,27.168537
BRB,2024,27.199247
BRB,2025,27.229969
BEL,2015,10.561178
BEL,2016,10.624824
BEL,2017,10.692582
BEL,2018,10.760737
BEL,2019,10.830077
BEL,2020,10.899414
BEL,2021,10.970502
BEL,2022,11.04182
BEL,2023,11.113549
BEL,2024,11.185306
BEL,2025,11.25706
BLR,2015,7.855418
BLR,2016,7.930592
BLR,2017,8.009173
BLR,2018,8.087855
BLR,2019,8.166745
BLR,2020,8.246863
BLR,2021,8.32727
BLR,2022,8.406907
BLR,2023,8.486377
BLR,2024,8.5662775
BLR,2025,8.646359
BLZ,2015,25.640423
BLZ,2016,25.665419
BLZ,2017,25.690416
BLZ,2018,25.715408
BLZ,2019,25.740421
BLZ,2020,25.774343
BLZ,2021,25.808252
BLZ,2022,25.842175
BLZ,2023,25.876087
BLZ,2024,25.910002
BLZ,2025,25.943924
BEN,2015,28.027712
BEN,2016,28.05859
BEN,2017,28.089462
BEN,2018,28.120342
BEN,2019,28.151232
BEN,2020,28.182106
BEN,2021,28.212994
BEN,2022,28.243881
BEN,2023,28.274755
BEN,2024,28.305643
BEN,2025,28.341627
BMU,2015,22.507925
BMU,2016,22.552837
BMU,2017,22.599888
BMU,2018,22.647966
BMU,2019,22.69691
BMU,2020,22.745855
BMU,2021,22.79481
BMU,2022,22.84375
BMU,2023,22.892706
BMU,2024,22.941647
BMU,2025,22.990585
BTN,2015,10.066251
BTN,2016,10.101777
BTN,2017,10.137296
BTN,2018,10.172821
BTN,2019,10.20837
BTN,2020,10.243928
BTN,2021,10.282543
BTN,2022,10.335064
BTN,2023,10.391553
BTN,2024,10.454975
BTN,2025,10.524692
BES,2015,26.909517
BES,2016,26.927423
BES,2017,26.945335
BES,2018,26.965496
BES,2019,26.99441
BES,2020,27.025852
BES,2021,27.059616
BES,2022,27.093718
BES,2023,27.132164
BES,2024,27.170523
BES,2025,27.208876
BIH,2015,11.109124
BIH,2016,11.170767
BIH,2017,11.232411
BIH,2018,11.294056
BIH,2019,11.355698
BIH,2020,11.417344
BIH,2021,11.479205
BIH,2022,11.542736
BIH,2023,11.606454
BIH,2024,11.670167
BIH,2025,11.733885
BOL,2015,20.7803
BOL,2016,20.811434
BOL,2017,20.843697
BOL,2018,20.87931
BOL,2019,20.914927
BOL,2020,20.950537
BOL,2021,20.986149
BOL,2022,21.021765
BOL,2023,21.057133
BOL,2024,21.091953
BOL,2025,21.127693
BRA,2015,25.386688
BRA,2016,25.418892
BRA,2017,25.45235
BRA,2018,25.4858
BRA,2019,25.528631
BRA,2020,25.574387
BRA,2021,25.621176
BRA,2022,25.667955
BRA,2023,25.714737
BRA,2024,25.76152
BRA,2025,25.808311
BVT,2015,-0.24895562
BVT,2016,-0.22966991
BVT,2017,-0.21038382
BVT,2018,-0.19109751
BVT,2019,-0.1550998
BVT,2020,-0.123153135
BVT,2021,-0.08854662
BVT,2022,-0.04315862
BVT,2023,0.004765764
BVT,2024,0.060894743
BVT,2025,0.1291541
BWA,2015,22.343216
BWA,2016,22.37863
BWA,2017,22.414055
BWA,2018,22.449474
BWA,2019,22.485106
BWA,2020,22.525852
BWA,2021,22.566605
BWA,2022,22.607355
BWA,2023,22.648108
BWA,2024,22.690943
BWA,2025,22.734734
BRN,2015,26.15867
BRN,2016,26.189198
BRN,2017,26.219723
BRN,2018,26.25026
BRN,2019,26.282433
BRN,2020,26.316631
BRN,2021,26.351345
BRN,2022,26.387087
BRN,2023,26.422808
BRN,2024,26.458548
BRN,2025,26.496647
IOT,2015,26.793238
IOT,2016,26.832968
IOT,2017,26.872694
IOT,2018,26.91243
IOT,2019,26.95215
IOT,2020,26.991884
IOT,2021,27.03161
IOT,2022,27.071344
IOT,2023,27.11118
IOT,2024,27.152277
IOT,2025,27.193134
VGB,2015,26.358591
VGB,2016,26.37666
VGB,2017,26.394754
VGB,2018,26.41284
VGB,2019,26.43013
VGB,2020,26.447176
VGB,2021,26.467648
VGB,2022,26.493965
VGB,2023,26.525045
VGB,2024,26.563896
VGB,2025,26.60275
BDI,2015,20.853373
BDI,2016,20.900139
BDI,2017,20.946918
BDI,2018,20.993696
BDI,2019,21.040415
BDI,2020,21.091621
BDI,2021,21.142832
BDI,2022,21.194035
BDI,2023,21.245241
BDI,2024,21.29645
BDI,2025,21.347658
BFA,2015,29.209734
BFA,2016,29.240713
BFA,2017,29.271717
BFA,2018,29.302715
BFA,2019,29.333704
BFA,2020,29.364702
BFA,2021,29.396418
BFA,2022,29.433336
BFA,2023,29.47215
BFA,2024,29.510975
BFA,2025,29.549803
BGR,2015,12.04636
BGR,2016,12.090684
BGR,2017,12.135009
BGR,2018,12.179337
BGR,2019,12.223792
BGR,2020,12.269206
BGR,2021,12.323941
BGR,2022,12.381858
BGR,2023,12.43978
BGR,2024,12.498906
BGR,2025,12.559272
CMR,2015,25.063345
CMR,2016,25.103739
CMR,2017,25.144136
CMR,2018,25.184528
CMR,2019,25.22493
CMR,2020,25.268593
CMR,2021,25.312336
CMR,2022,25.35808
CMR,2023,25.40958
CMR,2024,25.462439
CMR,2025,25.515299
CPV,2015,23.43593
CPV,2016,23.450916
CPV,2017,23.46744
CPV,2018,23.494705
CPV,2019,23.526316
CPV,2020,23.571716
CPV,2021,23.621738
CPV,2022,23.672348
CPV,2023,23.723305
CPV,2024,23.774279
CPV,2025,23.825254
KHM,2015,28.087116
KHM,2016,28.12937
KHM,2017,28.171621
KHM,2018,28.213888
KHM,2019,28.252924
KHM,2020,28.291906
KHM,2021,28.333902
KHM,2022,28.375904
KHM,2023,28.4179
KHM,2024,28.459904
KHM,2025,28.501902
CAF,2015,26.074419
CAF,2016,26.130924
CAF,2017,26.187433
CAF,2018,26.243933
CAF,2019,26.30046
CAF,2020,26.356974
CAF,2021,26.413494
CAF,2022,26.469873
CAF,2023,26.525509
CAF,2024,26.58271
CAF,2025,26.640257
CAN,2015,-3.6147676
CAN,2016,-3.6175482
CAN,2017,-3.6197984
CAN,2018,-3.6226118
CAN,2019,-3.626524
CAN,2020,-3.6304333
CAN,2021,-3.635234
CAN,2022,-3.6002946
CAN,2023,-3.5357792
CAN,2024,-3.4646442
CAN,2025,-3.3867598
CYM,2015,27.064447
CYM,2016,27.108526
CYM,2017,27.152622
CYM,2018,27.196707
CYM,2019,27.240797
CYM,2020,27.284895
CYM,2021,27.328981
CYM,2022,27.36979
CYM,2023,27.408243
CYM,2024,27.446686
CYM,2025,27.485147
CHL,2015,9.257496
CHL,2016,9.304715
CHL,2017,9.351942
CHL,2018,9.403302
CHL,2019,9.461462
CHL,2020,9.519776
CHL,2021,9.578115
CHL,2022,9.636548
CHL,2023,9.696282
CHL,2024,9.761744
CHL,2025,9.823871
CHN,2015,7.5870366
CHN,2016,7.6619515
CHN,2017,7.7388625
CHN,2018,7.815273
CHN,2019,7.8907895
CHN,2020,7.966304
CHN,2021,8.041821
CHN,2022,8.117334
CHN,2023,8.19285
CHN,2024,8.268367
CHN,2025,8.34388
TCD,2015,27.460857
TCD,2016,27.507933
TCD,2017,27.554996
TCD,2018,27.6023
TCD,2019,27.650417
TCD,2020,27.698511
TCD,2021,27.746624
TCD,2022,27.794733
TCD,2023,27.843668
TCD,2024,27.893063
TCD,2025,27.94246
CCK,2015,26.615908
CCK,2016,26.633091
CCK,2017,26.650274
CCK,2018,26.668331
CCK,2019,26.690119
CCK,2020,26.714981
CCK,2021,26.747337
CCK,2022,26.77969
CCK,2023,26.812033
CCK,2024,26.84439
CCK,2025,26.876749
COL,2015,24.403662
COL,2016,24.446487
COL,2017,24.489424
COL,2018,24.532358
COL,2019,24.575222
COL,2020,24.617273
COL,2021,24.659327
COL,2022,24.701385
COL,2023,24.743433
COL,2024,24.785492
COL,2025,24.82899
CXR,2015,26.55822
CXR,2016,26.578075
CXR,2017,26.599531
CXR,2018,26.621555
CXR,2019,26.643585
CXR,2020,26.667917
CXR,2021,26.691944
CXR,2022,26.715967
CXR,2023,26.74001
CXR,2024,26.767714
CXR,2025,26.79541
COG,2015,25.177992
COG,2016,25.220287
COG,2017,25.263617
COG,2018,25.304983
COG,2019,25.347363
COG,2020,25.391277
COG,2021,25.434343
COG,2022,25.478195
COG,2023,25.525187
COG,2024,25.572186
COG,2025,25.619184
COK,2015,25.031715
COK,2016,25.047626
COK,2017,25.063547
COK,2018,25.085546
COK,2019,25.107944
COK,2020,25.1347
COK,2021,25.163082
COK,2022,25.192
COK,2023,25.222567
COK,2024,25.253498
COK,2025,25.286026
COM,2015,25.470484
COM,2016,25.511816
COM,2017,25.553185
COM,2018,25.594576
COM,2019,25.635937
COM,2020,25.677326
COM,2021,25.718702
COM,2022,25.760073
COM,2023,25.801449
COM,2024,25.842825
COM,2025,25.8869
CRI,2015,23.542162
CRI,2016,23.572496
CRI,2017,23.602825
CRI,2018,23.633162
CRI,2019,23.663492
CRI,2020,23.693817
CRI,2021,23.723715
CRI,2022,23.762856
CRI,2023,23.805498
CRI,2024,23.848145
CRI,2025,23.890781
CUB,2015,25.695087
CUB,2016,25.747522
CUB,2017,25.799948
CUB,2018,25.852373
CUB,2019,25.904806
CUB,2020,25.957235
CUB,2021,26.009663
CUB,2022,26.062094
CUB,2023,26.11452
CUB,2024,26.168514
CUB,2025,26.22417
HRV,2015,12.992656
HRV,2016,13.054333
HRV,2017,13.116012
HRV,2018,13.177695
HRV,2019,13.23952
HRV,2020,13.301999
HRV,2021,13.362236
HRV,2022,13.421028
HRV,2023,13.480005
HRV,2024,13.538992
HRV,2025,13.59797
CUW,2015,26.94139
CUW,2016,26.97198
CUW,2017,27.012644
CUW,2018,27.05549
CUW,2019,27.098318
CUW,2020,27.141535
CUW,2021,27.189611
CUW,2022,27.237705
CUW,2023,27.287659
CUW,2024,27.339417
CUW,2025,27.391195
CYP,2015,21.045736
CYP,2016,21.106363
CYP,2017,21.173742
CYP,2018,21.241648
CYP,2019,21.309565
CYP,2020,21.377481
CYP,2021,21.445395
CYP,2022,21.513308
CYP,2023,21.58122
CYP,2024,21.649134
CYP,2025,21.717058
CZE,2015,9.536032
CZE,2016,9.612713
CZE,2017,9.689391
CZE,2018,9.766064
CZE,2019,9.8427105
CZE,2020,9.919179
CZE,2021,9.992549
CZE,2022,10.06568
CZE,2023,10.138806
CZE,2024,10.211971
CZE,2025,10.286793
CIV,2015,26.753595
CIV,2016,26.79053
CIV,2017,26.838192
CIV,2018,26.886892
CIV,2019,26.935617
CIV,2020,26.98433
CIV,2021,27.033895
CIV,2022,27.083942
CIV,2023,27.13399
CIV,2024,27.18403
CIV,2025,27.234087
COD,2015,24.619495
COD,2016,24.675905
COD,2017,24.731281
COD,2018,24.786652
COD,2019,24.840336
COD,2020,24.890266
COD,2021,24.940508
COD,2022,24.99077
COD,2023,25.041021
COD,2024,25.091269
COD,2025,25.141516
PRK,2015,8.023839
PRK,2016,8.093748
PRK,2017,8.166552
PRK,2018,8.239358
PRK,2019,8.312161
PRK,2020,8.384968
PRK,2021,8.457773
PRK,2022,8.530897
PRK,2023,8.604758
PRK,2024,8.678716
PRK,2025,8.7526
DJI,2015,28.60898
DJI,2016,28.646517
DJI,2017,28.68405
DJI,2018,28.723566
DJI,2019,28.763342
DJI,2020,28.80313
DJI,2021,28.84589
DJI,2022,28.888723
DJI,2023,28.931553
DJI,2024,28.974392
DJI,2025,29.019045
DMA,2015,25.797083
DMA,2016,25.81429
DMA,2017,25.831484
DMA,2018,25.848694
DMA,2019,25.868408
DMA,2020,25.8909
DMA,2021,25.919046
DMA,2022,25.953316
DMA,2023,25.990395
DMA,2024,26.028416
DMA,2025,26.067469
DNK,2015,9.513856
DNK,2016,9.573569
DNK,2017,9.633284
DNK,2018,9.693976
DNK,2019,9.756858
DNK,2020,9.820113
DNK,2021,9.883259
DNK,2022,9.94926
DNK,2023,10.016762
DNK,2024,10.08609
DNK,2025,10.157911
DOM,2015,24.46529
DOM,2016,24.495886
DOM,2017,24.526482
DOM,2018,24.557077
DOM,2019,24.587671
DOM,2020,24.6219
DOM,2021,24.65632
DOM,2022,24.69355
DOM,2023,24.73079
DOM,2024,24.768023
DOM,2025,24.808916
ECU,2015,21.43433
ECU,2016,21.47565
ECU,2017,21.516954
ECU,2018,21.558264
ECU,2019,21.599579
ECU,2020,21.640888
ECU,2021,21.682192
ECU,2022,21.723503
ECU,2023,21.76481
ECU,2024,21.806126
ECU,2025,21.847445
SLV,2015,26.355059
SLV,2016,26.39129
SLV,2017,26.427526
SLV,2018,26.463757
SLV,2019,26.499998
SLV,2020,26.536232
SLV,2021,26.572456
SLV,2022,26.608688
SLV,2023,26.644924
SLV,2024,26.681166
SLV,2025,26.717394
ERI,2015,27.28361
ERI,2016,27.311802
ERI,2017,27.339994
ERI,2018,27.368183
ERI,2019,27.396383
ERI,2020,27.42457
ERI,2021,27.45236
ERI,2022,27.481651
ERI,2023,27.516407
ERI,2024,27.553698
ERI,2025,27.593414
EST,2015,7.0568027
EST,2016,7.1243997
EST,2017,7.192746
EST,2018,7.262976
EST,2019,7.3333225
EST,2020,7.4036684
EST,2021,7.473156
EST,2022,7.543791
EST,2023,7.6159678
EST,2024,7.688148
EST,2025,7.7603254
GNQ,2015,24.30436
GNQ,2016,24.358566
GNQ,2017,24.412767
GNQ,2018,24.46634
GNQ,2019,24.514786
GNQ,2020,24.563213
GNQ,2021,24.611647
GNQ,2022,24.660065
GNQ,2023,24.708504
GNQ,2024,24.75693
GNQ,2025,24.805359
ETH,2015,23.746964
ETH,2016,23.785593
ETH,2017,23.824223
ETH,2018,23.865772
ETH,2019,23.909655
ETH,2020,23.953531
ETH,2021,23.999245
ETH,2022,24.047106
ETH,2023,24.094961
ETH,2024,24.14281
ETH,2025,24.191235
FRO,2015,7.6523256
FRO,2016,7.718942
FRO,2017,7.7858214
FRO,2018,7.847868
FRO,2019,7.9078155
FRO,2020,7.9683685
FRO,2021,8.030227
FRO,2022,8.092141
FRO,2023,8.145948
FRO,2024,8.194546
FRO,2025,8.246711
SWZ,2015,19.912663
SWZ,2016,19.940203
SWZ,2017,19.967756
SWZ,2018,19.995697
SWZ,2019,20.023977
SWZ,2020,20.052244
SWZ,2021,20.080526
SWZ,2022,20.110584
SWZ,2023,20.146088
SWZ,2024,20.184507
SWZ,2025,20.22606
FIN,2015,3.2696934
FIN,2016,3.3186677
FIN,2017,3.367498
FIN,2018,3.4216595
FIN,2019,3.4822443
FIN,2020,3.5414915
FIN,2021,3.5994353
FIN,2022,3.644953
FIN,2023,3.6937947
FIN,2024,3.750328
FIN,2025,3.8062315
FJI,2015,24.901207
FJI,2016,24.939991
FJI,2017,24.978777
FJI,2018,25.017576
FJI,2019,25.05637
FJI,2020,25.09521
FJI,2021,25.134811
FJI,2022,25.179312
FJI,2023,25.22345
FJI,2024,25.267067
FJI,2025,25.310692
FSM,2015,27.517069
FSM,2016,27.5487
FSM,2017,27.580341
FSM,2018,27.611973
FSM,2019,27.643612
FSM,2020,27.675022
FSM,2021,27.706318
FSM,2022,27.737614
FSM,2023,27.768906
FSM,2024,27.80037
FSM,2025,27.832006
ATF,2015,3.325522
ATF,2016,3.347577
ATF,2017,3.375471
ATF,2018,3.409749
ATF,2019,3.4440255
ATF,2020,3.4783032
ATF,2021,3.517456
ATF,2022,3.5655022
ATF,2023,3.6188052
ATF,2024,3.674835
ATF,2025,3.7263227
FRA,2015,12.238282
FRA,2016,12.303015
FRA,2017,12.369026
FRA,2018,12.435032
FRA,2019,12.501151
FRA,2020,12.567797
FRA,2021,12.634445
FRA,2022,12.7011
FRA,2023,12.767751
FRA,2024,12.834394
FRA,2025,12.902613
PYF,2015,25.771578
PYF,2016,25.78313
PYF,2017,25.794182
PYF,2018,25.805239
PYF,2019,25.816288
PYF,2020,25.830893
PYF,2021,25.854155
PYF,2022,25.886578
PYF,2023,25.92043
PYF,2024,25.95429
PYF,2025,25.99094
DEU,2015,10.0323105
DEU,2016,10.097655
DEU,2017,10.165182
DEU,2018,10.232982
DEU,2019,10.3013735
DEU,2020,10.369822
DEU,2021,10.439812
DEU,2022,10.51021
DEU,2023,10.580659
DEU,2024,10.651112
DEU,2025,10.7223625
